省份,总单身数,男性单身数,女性单身数
广东,21475,12922,8553
河南,12159,6931,5228
山东,10634,6207,4426
四川,10583,6132,4451
江苏,9063,5070,3993
湖南,8152,5002,3150
湖北,7885,4886,2999
安徽,7570,4603,2966
广西,7430,4632,2798
河北,7397,4459,2938
云南,7063,4071,2992
浙江,6981,4361,2620
陕西,5849,3278,2572
江西,5829,3626,2203
辽宁,5355,3132,2223
山西,5328,3095,2233
贵州,5120,3084,2036
黑龙江,4791,2688,2104
福建,4207,2537,1670
甘肃,3801,2202,1599
重庆,3699,2205,1494
北京,3434,2038,1396
内蒙古,3415,1799,1615
上海,3103,1761,1343
新疆,3044,1828,1216
吉林,2940,1712,1228
天津,2224,1281,943
海南,1645,1042,602
宁夏,889,534,355
青海,856,523,334
西藏,649,344,304
